id,nome,data_observacao,diametro_min_m,diametro_max_m,diametro_medio_m,potencialmente_perigoso,velocidade_km_h,distancia_km,distancia_lunar,magnitude_absoluta,url_nasa
2437844,437844 (1999 MN),2026-06-03,166.94,373.28,270.11,1,74084.2,24168540.07,62.8456,21.01,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2437844
3698472,(2014 WD201),2026-06-03,384.2,859.09,621.65,1,71908.9,66550320.38,173.0511,19.2,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3698472
3836085,(2018 VQ3),2026-06-03,206.33,461.36,333.84,0,66118.74,22434617.96,58.3368,20.55,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3836085
3843765,(2019 RH),2026-06-03,16.77,37.5,27.14,0,43131.59,65192919.43,169.5214,26.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843765
2141531,141531 (2002 GB),2026-06-02,393.15,879.1,636.13,0,52573.02,69798316.84,181.4969,19.15,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2141531
3410171,(2008 JV2),2026-06-02,30.52,68.24,49.38,0,81030.64,74684559.57,194.2026,24.7,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3410171
3428531,(2008 SY150),2026-06-02,30.52,68.24,49.38,0,37913.22,21740610.48,56.5322,24.7,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3428531
3553284,(2010 XD25),2026-06-02,187.31,418.83,303.07,0,104648.71,63172497.3,164.2677,20.76,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3553284
3579625,(2011 SF108),2026-06-02,258.56,578.15,418.35,0,56387.06,65479736.21,170.2672,20.06,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3579625
3678630,(2014 OL339),2026-06-02,73.88,165.21,119.55,0,42704.14,51047781.47,132.7398,22.78,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3678630
3884238,(2019 US10),2026-06-02,194.34,434.55,314.44,1,51365.69,58252785.83,151.475,20.68,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3884238
3261681,(2004 VJ1),2026-06-09,40.23,89.96,65.09,0,18252.6,27614593.28,71.8063,24.1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3261681
3879727,(2019 UX6),2026-06-09,11.08,24.78,17.93,0,25266.45,66948121.78,174.0855,26.9,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879727
2530974,530974 (2012 BN11),2026-06-08,185.59,414.99,300.29,1,26894.58,18129603.28,47.1425,20.78,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2530974
3721139,(2015 LC21),2026-06-08,66.77,149.29,108.03,0,56380.42,51769293.31,134.6159,23.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3721139
3843098,(2019 MT3),2026-06-08,68.95,154.18,111.57,0,25175.96,43357281.94,112.7421,22.93,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843098
54427459,(2024 BY15),2026-06-08,11.71,26.18,18.95,0,53916.32,73426935.76,190.9324,26.78,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54427459
3336867,(2006 MB),2026-06-07,80.64,180.32,130.48,0,26399.96,15101007.67,39.2672,22.59,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3336867
3802390,(2018 GE),2026-06-07,8.41,18.79,13.6,0,11140.02,6267506.03,16.2974,27.5,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3802390
3838104,(2019 CH1),2026-06-07,151.55,338.88,245.21,1,78804.28,23613187.59,61.4015,21.22,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838104
3991612,(2020 DJ),2026-06-07,15.3,34.2,24.75,0,19690.65,60137859.13,156.3767,26.2,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3991612
2478784,478784 (2012 UV136),2026-06-06,20.16,45.09,32.62,0,57882.16,62319855.86,162.0506,25.6,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2478784
3304382,(2005 WR2),2026-06-06,331.55,741.38,536.47,0,52110.64,14925563.32,38.811,19.52,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3304382
3644087,(2013 MR),2026-06-06,126.05,281.86,203.96,0,62424.77,16795040.18,43.6722,21.62,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3644087
3892162,(2019 UK13),2026-06-06,30.38,67.93,49.15,0,21812.83,59095711.57,153.6668,24.71,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3892162
2662203,662203 (2005 WR2),2026-06-06,339.28,758.65,548.96,0,52110.62,14925578.25,38.811,19.47,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2662203
3426410,(2008 QV11),2026-06-05,143.4,320.66,232.03,0,54758.04,18818979.96,48.9351,21.34,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3426410
3672459,(2014 KG39),2026-06-05,26.58,59.43,43.01,0,28779.6,13311906.29,34.615,25.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3672459
3673916,(2014 MG6),2026-06-05,15.3,34.2,24.75,0,30192.13,20668983.11,53.7456,26.2,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3673916
3837643,(2019 AX3),2026-06-05,8.41,18.79,13.6,0,23036.0,59644563.27,155.094,27.5,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837643
3843278,(2019 NX5),2026-06-05,4.02,9.0,6.51,0,22409.45,21154729.75,55.0087,29.1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843278
3781045,(2017 QM18),2026-06-04,506.47,1132.5,819.49,0,76576.34,36580752.09,95.1211,18.6,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781045
3838892,(2019 ER),2026-06-04,10.11,22.6,16.35,0,37028.5,37813910.34,98.3277,27.1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838892
